,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
378, Hyundai,2017,Grand,96.01k,Petrol,Manual,"8,035"," Bachupally, Hyderabad",4.11 lakh
379, Mahindra,2020,XUV500,995.99k,Diesel,Manual,"22,632"," Bachupally, Hyderabad",11.89 lakh
380, Maruti,2015,Wagon,3.20k,Petrol,Manual,"7,274"," Bachupally, Hyderabad",3.27 lakh
381, Renault,2022,Kwid,04.16k,Petrol,Auto,"9,365"," Kompally, Hyderabad",4.79 lakh
382, Hyundai,2024,EXTER,4.66k,Petrol,Manual,"11,437"," Upperpally, Attapur, Hyderabad",5.85 lakh
383, Hyundai,2024,NEW,7.13k,Petrol,Auto,"17,245"," Kompally, Hyderabad",9.06 lakh
384, Mahindra,2023,Thar,7.88k,Diesel,Auto,"29,617"," Kompally, Hyderabad",15.56 lakh
385, Maruti,2024,Grand,8.28k,Petrol,Auto,"28,170"," Kompally, Hyderabad",14.80 lakh
386, Maruti,2024,FRONX,9.20k,Petrol,Auto,"22,517"," Kompally, Hyderabad",11.83 lakh
387, Renault,2022,Kwid,09.60k,Petrol,Auto,"9,345"," Bachupally, Hyderabad",4.78 lakh
388, Hyundai,2023,GRAND,9.68k,Petrol,Auto,"15,601"," Kompally, Hyderabad",7.98 lakh
389, Maruti,2023,IGNIS,29.85k,Petrol,Manual,"10,225"," Upperpally, Attapur, Hyderabad",5.23 lakh
390, Mahindra,2022,XUV300,9.95k,Petrol,Auto,"21,356"," Kompally, Hyderabad",11.22 lakh
391, Renault,2022,Kwid,10.27k,Petrol,Auto,"8,719"," Upperpally, Attapur, Hyderabad",4.46 lakh
392, MG,2021,HECTOR,11.85k,Petrol,Auto,"26,629"," Kompally, Hyderabad",13.99 lakh
393, Mahindra,2022,XUV700,11.91k,Petrol,Auto,"32,777"," Kompally, Hyderabad",17.22 lakh
394, Hyundai,2023,EXTER,12.09k,Petrol,Auto,"18,120"," Kompally, Hyderabad",9.52 lakh
395, Tata,2023,ALTROZ,12.82k,Petrol,Manual,"11,632"," Upperpally, Attapur, Hyderabad",5.95 lakh
396, Hyundai,2023,Verna,13.09k,Petrol,Manual,"26,952"," Upperpally, Attapur, Hyderabad",14.16 lakh
397, Mahindra,2022,Thar,13.49k,Petrol,Auto,"25,277"," Upperpally, Attapur, Hyderabad",13.28 lakh
398, MG,2023,HECTOR,14.25k,Petrol,Manual,"31,559"," Kompally, Hyderabad",16.58 lakh
399, Hyundai,2023,GRAND,14.97k,Petrol,Manual,"11,241"," Kompally, Hyderabad",5.75 lakh
400, Mahindra,2022,XUV700,51.65k,Diesel,Manual,"35,613"," Kompally, Hyderabad",18.71 lakh
401, Mahindra,2022,XUV700,69.05k,Petrol,Auto,"35,023"," Kompally, Hyderabad",18.40 lakh
402, Mahindra,2022,XUV700,31.60k,Petrol,Auto,"33,690"," Kompally, Hyderabad",17.70 lakh
403, Mahindra,2022,XUV700,11.91k,Petrol,Auto,"32,777"," Kompally, Hyderabad",17.22 lakh
404, Mahindra,2022,XUV700,30.45k,Diesel,Manual,"32,453"," Upperpally, Attapur, Hyderabad",17.05 lakh
405, MG,2023,HECTOR,14.25k,Petrol,Manual,"31,559"," Kompally, Hyderabad",16.58 lakh
406, Mahindra,2023,Thar,7.88k,Diesel,Auto,"29,617"," Kompally, Hyderabad",15.56 lakh
407, Hyundai,2021,Creta,34.26k,Petrol,Auto,"29,446"," Kompally, Hyderabad",15.47 lakh
408, Mahindra,2023,Thar,19.03k,Diesel,Auto,"28,399"," Kompally, Hyderabad",14.92 lakh
409, Maruti,2024,Grand,8.28k,Petrol,Auto,"28,170"," Kompally, Hyderabad",14.80 lakh
410, Hyundai,2021,Creta,46.65k,Petrol,Auto,"27,942"," Kompally, Hyderabad",14.68 lakh
411, Tata,2023,NEXON,26.12k,Diesel,Auto,"27,314"," Bachupally, Hyderabad",14.35 lakh
412, Hyundai,2020,Creta,48.34k,Petrol,Auto,"27,028"," Upperpally, Attapur, Hyderabad",14.20 lakh
413, Hyundai,2023,Verna,13.09k,Petrol,Manual,"26,952"," Upperpally, Attapur, Hyderabad",14.16 lakh
414, MG,2021,HECTOR,11.85k,Petrol,Auto,"26,629"," Kompally, Hyderabad",13.99 lakh
415, MG,2021,HECTOR,37.15k,Petrol,Manual,"25,886"," Kompally, Hyderabad",13.60 lakh
416, Volkswagen,2022,TAIGUN,41.77k,Petrol,Manual,"25,601"," Upperpally, Attapur, Hyderabad",13.45 lakh
417, Mahindra,2022,Thar,13.49k,Petrol,Auto,"25,277"," Upperpally, Attapur, Hyderabad",13.28 lakh
418, MG,2020,HECTOR,36.38k,Diesel,Manual,"25,258"," Kompally, Hyderabad",13.27 lakh
419, Hyundai,2021,Creta,68.35k,Diesel,Manual,"24,859"," Bachupally, Hyderabad",13.06 lakh
420, Maruti,2013,Alto,87.27k,Petrol,Manual,"5,414"," Kompally, Hyderabad",1.63 lakh
421, Datsun,2016,Go,,Petrol,Manual,"3,826"," Upperpally, Attapur, Hyderabad",1.72 lakh
422, Datsun,2018,Redi,,Petrol,Manual,"4,342"," Kompally, Hyderabad",1.95 lakh
423, Maruti,2015,Alto,60.49k,Petrol,Manual,"4,649"," Kompally, Hyderabad",2.09 lakh
424, Maruti,2013,Alto,98.82k,Petrol,Manual,"6,975"," Upperpally, Attapur, Hyderabad",2.10 lakh
425, Datsun,2018,Redi,85.71k,Petrol,Manual,"4,164"," Bachupally, Hyderabad",2.13 lakh
426, Hyundai,2011,i10,258.68k,Petrol,Manual,"18,925"," Bachupally, Hyderabad",2.13 lakh
427, Maruti,2013,Alto,29.07k,Petrol,Manual,"7,274"," Kompally, Hyderabad",2.19 lakh
428, Maruti,2016,Alto,88.37k,Petrol,Manual,"4,360"," Bachupally, Hyderabad",2.23 lakh
429, Maruti,2016,Alto,43.02k,Petrol,Manual,"4,536"," Kompally, Hyderabad",2.32 lakh
430, Maruti,2016,Alto,37.03k,Petrol,Manual,"4,555"," Bachupally, Hyderabad",2.33 lakh
431, Maruti,2015,Alto,36.87k,Petrol,Manual,"5,227"," Kompally, Hyderabad",2.35 lakh
432, Mahindra,2016,Kuv100,81.98k,Petrol,Manual,"4,712"," Bachupally, Hyderabad",2.41 lakh
433, Maruti,2016,Alto,,Petrol,Auto,"5,445"," Bachupally, Hyderabad",2.45 lakh
434, Datsun,2019,Redi,044.53k,Petrol,Manual,"4,790"," Kompally, Hyderabad",2.45 lakh
435, Maruti,2018,Alto,79.45k,Petrol,Manual,"4,809"," Kompally, Hyderabad",2.46 lakh
436, Maruti,2017,Alto,34.64k,Petrol,Manual,"4,829"," Upperpally, Attapur, Hyderabad",2.47 lakh
437, Maruti,2019,Alto,43.60k,Petrol,Manual,"4,868"," Bachupally, Hyderabad",2.49 lakh
438, Maruti,2019,Alto,48.38k,Petrol,Manual,"5,063"," Kompally, Hyderabad",2.59 lakh
439, Maruti,2019,Alto,34.05k,Petrol,Manual,"5,083"," Bachupally, Hyderabad",2.60 lakh
440, Renault,2023,TRIBER,15.13k,Petrol,Manual,"13,372"," Kompally, Hyderabad",6.84 lakh
441, Volkswagen,2018,Polo,85.47k,Diesel,Manual,"11,945"," Kompally, Hyderabad",6.11 lakh
442, Mahindra,2022,XUV700,11.91k,Petrol,Auto,"32,777"," Kompally, Hyderabad",17.22 lakh
443, Honda,2018,City,82.15k,Petrol,Manual,"13,939"," Kompally, Hyderabad",7.13 lakh
444, Maruti,2018,Baleno,283.13k,Petrol,Auto,"11,320"," Kompally, Hyderabad",5.79 lakh
445, Hyundai,2015,Xcent,62.88k,Petrol,Manual,"9,098"," Upperpally, Attapur, Hyderabad",4.09 lakh
446, Maruti,2021,Ertiga,19.69k,Petrol,Auto,"17,892"," Kompally, Hyderabad",9.40 lakh
447, Jeep,2018,Compass,485.93k,Diesel,Manual,"21,451"," Kompally, Hyderabad",11.27 lakh
448, Hyundai,2014,Xcent,270.00k,Petrol,Manual,"8,611"," Upperpally, Attapur, Hyderabad",3.27 lakh
449, Maruti,2019,New,25.97k,Petrol,Auto,"9,462"," Kompally, Hyderabad",4.84 lakh
450, Renault,2022,Kwid,036.09k,Petrol,Manual,"8,504"," Kompally, Hyderabad",4.35 lakh
451, Maruti,2019,Baleno,229.63k,Petrol,Manual,"12,747"," Upperpally, Attapur, Hyderabad",6.52 lakh
452, Tata,2023,NEXON,22.45k,Petrol,Auto,"17,397"," Bachupally, Hyderabad",9.14 lakh
453, Mahindra,2016,Kuv100,81.98k,Petrol,Manual,"4,712"," Bachupally, Hyderabad",2.41 lakh
454, Renault,2023,Kwid,031.70k,Petrol,Auto,"9,736"," Kompally, Hyderabad",4.98 lakh
455, Hyundai,2017,Grand,32.59k,Petrol,Manual,"8,778"," Bachupally, Hyderabad",4.49 lakh
456, Maruti,2015,Swift,50.60k,Petrol,Manual,"8,386"," Bachupally, Hyderabad",3.77 lakh
457, Maruti,2018,Baleno,241.17k,Petrol,Manual,"11,574"," Upperpally, Attapur, Hyderabad",5.92 lakh
458, Hyundai,2023,GRAND,9.68k,Petrol,Auto,"15,601"," Kompally, Hyderabad",7.98 lakh
459, Renault,2020,TRIBER,49.12k,Petrol,Auto,"10,498"," Kompally, Hyderabad",5.37 lakh
460, Hyundai,2014,Verna,93.94k,Diesel,Manual,"14,714"," Kompally, Hyderabad",4.43 lakh
461, Maruti,2019,Swift,78.41k,Petrol,Auto,"9,247"," Kompally, Hyderabad",4.73 lakh
462, Hyundai,2017,Grand,32.59k,Petrol,Manual,"8,778"," Bachupally, Hyderabad",4.49 lakh
463, Renault,2020,TRIBER,49.12k,Petrol,Auto,"10,498"," Kompally, Hyderabad",5.37 lakh
464, Renault,2020,Kwid,39.49k,Petrol,Manual,"7,683"," Bachupally, Hyderabad",3.93 lakh
465, Renault,2021,Kwid,32.73k,Petrol,Auto,"8,133"," Kompally, Hyderabad",4.16 lakh
466, Renault,2023,Kwid,031.70k,Petrol,Auto,"9,736"," Kompally, Hyderabad",4.98 lakh
467, Renault,2021,Kwid,32.80k,Petrol,Manual,"7,683"," Upperpally, Attapur, Hyderabad",3.93 lakh
468, Maruti,2017,Dzire,97.99k,Petrol,Manual,"9,071"," Bachupally, Hyderabad",4.64 lakh
469, Tata,2023,NEXON,33.55k,Petrol,Auto,"19,301"," Kompally, Hyderabad",10.14 lakh
470, Maruti,2015,Swift,50.60k,Petrol,Manual,"8,386"," Bachupally, Hyderabad",3.77 lakh
471, Volkswagen,2019,Polo,69.86k,Petrol,Manual,"9,384"," Bachupally, Hyderabad",4.80 lakh
472, Maruti,2020,Swift,73.82k,Petrol,Auto,"11,496"," Kompally, Hyderabad",5.88 lakh
473, Datsun,2019,Redi,044.53k,Petrol,Manual,"4,790"," Kompally, Hyderabad",2.45 lakh
474, Volkswagen,2020,Polo,38.29k,Petrol,Manual,"14,193"," Bachupally, Hyderabad",7.26 lakh
475, Honda,2017,Amaze,94.06k,Petrol,Manual,"7,527"," Kompally, Hyderabad",3.85 lakh
476, Ford,2017,Ecosport,88.99k,Petrol,Auto,"12,629"," Bachupally, Hyderabad",6.46 lakh
477, Tata,2019,Tiago,27.25k,Petrol,Manual,"9,374"," Kompally, Hyderabad",4.79 lakh
478, Renault,2019,TRIBER,31.58k,Petrol,Manual,"10,889"," Bachupally, Hyderabad",5.57 lakh
479, Skoda,2022,SLAVIA,33.41k,Petrol,Auto,"20,214"," Bachupally, Hyderabad",10.62 lakh
480, Renault,2016,Kwid,829.03k,Petrol,Manual,"5,630"," Undri, Pune",2.88 lakh
481, Honda,2015,City,,Petrol,Manual,"9,565"," Amanora Mall apex building, Pune",4.30 lakh
482, Maruti,2013,Ritz,47.96k,Petrol,Manual,"8,569"," Amanora Mall apex building, Pune",2.58 lakh
483, Toyota,2015,Etios,33.80k,Petrol,Manual,"8,987"," Amanora Mall apex building, Pune",4.04 lakh
484, Hyundai,2016,Grand,29.33k,Petrol,Manual,"8,739"," Tathawade, Pune",4.47 lakh
485, Maruti,2015,Swift,73.55k,Petrol,Manual,"8,876"," Amanora Mall apex building, Pune",3.99 lakh
486, Hyundai,2015,Grand,14.28k,Petrol,Manual,"8,742"," Amanora Mall apex building, Pune",3.93 lakh
487, Renault,2019,Kwid,45.89k,Petrol,Auto,"6,749"," Amanora Mall apex building, Pune",3.45 lakh
488, Renault,2021,Kwid,31.49k,Petrol,Auto,"7,390"," Tathawade, Pune",3.78 lakh
489, Maruti,2020,Baleno,274.07k,Petrol,Manual,"10,870"," Amanora Mall apex building, Pune",5.56 lakh
490, Renault,2020,Kwid,32.17k,Petrol,Manual,"6,647"," Tathawade, Pune",3.40 lakh
491, Tata,2016,Tiago,86.54k,Petrol,Manual,"6,549"," Amanora Mall apex building, Pune",3.35 lakh
492, Hyundai,2013,i20,249.22k,Petrol,Manual,"11,957"," Tathawade, Pune",3.60 lakh
493, Maruti,2015,Alto,22.34k,Petrol,Manual,"5,227"," Tathawade, Pune",2.35 lakh
494, Tata,2020,Harrier,33.78k,Diesel,Manual,"21,128"," Tathawade, Pune",11.10 lakh
495, Datsun,2017,Redi,54.23k,Petrol,Manual,"3,988"," Tathawade, Pune",2.04 lakh
496, Maruti,2022,Swift,35.75k,Petrol,Manual,"10,870"," Tathawade, Pune",5.56 lakh
497, Toyota,2016,Etios,43.83k,Petrol,Manual,"6,843"," Tathawade, Pune",3.50 lakh
498, Honda,2021,Amaze,26.90k,Petrol,Manual,"10,850"," Amanora Mall apex building, Pune",5.55 lakh
499, Renault,2020,Kwid,814.21k,Petrol,Manual,"6,647"," Tathawade, Pune",3.40 lakh
500, Maruti,2020,New,073.31k,CNG,Manual,"9,189"," Tathawade, Pune",4.70 lakh
501, Maruti,2015,Alto,22.34k,Petrol,Manual,"5,227"," Tathawade, Pune",2.35 lakh
502, Maruti,2019,Swift,29.27k,Petrol,Manual,"11,105"," Tathawade, Pune",5.68 lakh
503, Skoda,2021,Rapid,46.88k,Petrol,Auto,"12,747"," Tathawade, Pune",6.52 lakh
504, Maruti,2013,Ritz,47.96k,Petrol,Manual,"8,569"," Amanora Mall apex building, Pune",2.58 lakh
505, Tata,2021,NEXON,34.29k,Diesel,Manual,"15,741"," Tathawade, Pune",8.27 lakh
506, Renault,2016,Kwid,829.03k,Petrol,Manual,"5,630"," Undri, Pune",2.88 lakh
507, KIA,2022,SONET,50.44k,Diesel,Auto,"20,785"," Tathawade, Pune",10.92 lakh
508, Toyota,2015,Etios,33.80k,Petrol,Manual,"8,987"," Amanora Mall apex building, Pune",4.04 lakh
509, Maruti,2020,Baleno,274.07k,Petrol,Manual,"10,870"," Amanora Mall apex building, Pune",5.56 lakh
510, Hyundai,2015,Grand,14.28k,Petrol,Manual,"8,742"," Amanora Mall apex building, Pune",3.93 lakh
511, Tata,2022,NEXON,32.08k,Petrol,Auto,"16,902"," Amanora Mall apex building, Pune",8.88 lakh
512, Maruti,2015,Swift,73.55k,Petrol,Manual,"8,876"," Amanora Mall apex building, Pune",3.99 lakh
513, Hyundai,2016,Grand,29.33k,Petrol,Manual,"8,739"," Tathawade, Pune",4.47 lakh
514, Maruti,2020,Celerio,69.98k,CNG,Manual,"9,873"," Tathawade, Pune",5.05 lakh
515, Maruti,2016,Ciaz,86.00k,Diesel,Manual,"12,746"," Tathawade, Pune",5.73 lakh
516, Renault,2016,Kwid,74.95k,Petrol,Manual,"4,184"," Tathawade, Pune",2.14 lakh
517, Tata,2022,Tiago,52.82k,CNG,Manual,"12,082"," Tathawade, Pune",6.18 lakh
518, Maruti,2018,Ciaz,70.83k,Petrol,Manual,"10,948"," Tathawade, Pune",5.60 lakh
519, Hyundai,2014,Xcent,242.02k,Petrol,Manual,"9,586"," Tathawade, Pune",3.64 lakh
520, Hyundai,2014,Eon,48.05k,Petrol,Manual,"5,293"," Tathawade, Pune",2.01 lakh
521, Datsun,2017,Redi,54.23k,Petrol,Manual,"3,988"," Tathawade, Pune",2.04 lakh
522, Datsun,2018,Redi,087.08k,Petrol,Manual,"4,027"," Amanora Mall apex building, Pune",2.06 lakh
523, Renault,2016,Kwid,74.95k,Petrol,Manual,"4,184"," Tathawade, Pune",2.14 lakh
524, Maruti,2014,Alto,22.62k,Petrol,Manual,"5,872"," Undri, Pune",2.23 lakh
525, Hyundai,2016,Eon,59.08k,Petrol,Manual,"4,375"," Tathawade, Pune",2.24 lakh
526, Maruti,2013,Ritz,79.52k,Petrol,Manual,"7,639"," Amanora Mall apex building, Pune",2.30 lakh
527, Maruti,2015,Alto,22.34k,Petrol,Manual,"5,227"," Tathawade, Pune",2.35 lakh
528, Renault,2016,Kwid,41.38k,Petrol,Manual,"4,594"," Amanora Mall apex building, Pune",2.35 lakh
529, Renault,2017,Kwid,854.34k,Petrol,Manual,"4,692"," Tathawade, Pune",2.40 lakh
530, Maruti,2012,Wagon,74.44k,CNG,Manual,," Amanora Mall apex building, Pune",2.40 lakh
531, Maruti,2014,Wagon,96.17k,CNG,Manual,"11,298"," Amanora Mall apex building, Pune",2.40 lakh
532, Renault,2016,Kwid,832.32k,Petrol,Manual,"4,712"," Undri, Pune",2.41 lakh
533, Renault,2016,Kwid,873.00k,Petrol,Manual,"4,848"," Tathawade, Pune",2.48 lakh
534, Hyundai,2014,Eon,48.45k,Petrol,Manual,"6,583"," Tathawade, Pune",2.50 lakh
535, Maruti,2013,Ritz,47.96k,Petrol,Manual,"8,569"," Amanora Mall apex building, Pune",2.58 lakh
536, Maruti,2016,Alto,79.43k,Petrol,Manual,"5,181"," Amanora Mall apex building, Pune",2.65 lakh
537, Maruti,2014,Wagon,81.35k,Petrol,Manual,"7,031"," Tathawade, Pune",2.67 lakh
538, Maruti,2015,Alto,30.56k,CNG,Manual,"8,968"," Tathawade, Pune",2.70 lakh
539, Maruti,2018,Alto,29.54k,Petrol,Manual,"5,376"," Tathawade, Pune",2.75 lakh
540, Maruti,2022,Grand,17.95k,Petrol,Manual,"24,649"," Tathawade, Pune",12.95 lakh
541, Tata,2024,NEXON,9.49k,Petrol,Manual,"21,982"," Tathawade, Pune",11.55 lakh
542, Tata,2020,Harrier,33.78k,Diesel,Manual,"21,128"," Tathawade, Pune",11.10 lakh
543, KIA,2022,SONET,50.44k,Diesel,Auto,"20,785"," Tathawade, Pune",10.92 lakh
544, Tata,2023,NEXON,9.45k,Petrol,Auto,"20,633"," Tathawade, Pune",10.84 lakh
545, Mahindra,2021,XUV300,39.15k,Diesel,Auto,"19,624"," Tathawade, Pune",10.31 lakh
546, KIA,2022,SONET,20.27k,Petrol,Manual,"18,254"," Tathawade, Pune",9.59 lakh
547, KIA,2020,SELTOS,546.50k,Petrol,Manual,"18,082"," Tathawade, Pune",9.50 lakh
548, KIA,2020,SONET,81.05k,Diesel,Auto,"17,854"," Tathawade, Pune",9.38 lakh
549, Hyundai,2021,VENUE,29.64k,Petrol,Auto,"17,321"," Tathawade, Pune",9.10 lakh
550, KIA,2019,SELTOS,83.43k,Petrol,Manual,"17,321"," Tathawade, Pune",9.10 lakh
551, Honda,2020,City,32.76k,Petrol,Manual,"17,226"," Amanora Mall apex building, Pune",9.05 lakh
552, Tata,2022,NEXON,32.08k,Petrol,Auto,"16,902"," Amanora Mall apex building, Pune",8.88 lakh
553, Mahindra,2022,XUV300,12.80k,Petrol,Manual,"16,845"," Tathawade, Pune",8.85 lakh
554, Hyundai,2021,VENUE,25.36k,Petrol,Auto,"16,655"," Tathawade, Pune",8.75 lakh
555, Maruti,2023,Baleno,13.22k,Petrol,Auto,"16,601"," Amanora Mall apex building, Pune",8.72 lakh
556, Honda,2021,City,50.12k,Petrol,Manual,"16,213"," Tathawade, Pune",8.52 lakh
557, Maruti,2021,Vitara,51.81k,Petrol,Auto,"16,141"," Amanora Mall apex building, Pune",8.48 lakh
558, Honda,2019,City,18.60k,Petrol,Manual,"16,084"," Undri, Pune",8.45 lakh
559, Hyundai,2021,VENUE,7.99k,Petrol,Manual,"16,084"," Tathawade, Pune",8.45 lakh
560, Maruti,2022,Grand,17.95k,Petrol,Manual,"24,649"," Tathawade, Pune",12.95 lakh
561, Tata,2024,NEXON,9.49k,Petrol,Manual,"21,982"," Tathawade, Pune",11.55 lakh
562, Tata,2020,Harrier,33.78k,Diesel,Manual,"21,128"," Tathawade, Pune",11.10 lakh
563, KIA,2022,SONET,50.44k,Diesel,Auto,"20,785"," Tathawade, Pune",10.92 lakh
564, Tata,2023,NEXON,9.45k,Petrol,Auto,"20,633"," Tathawade, Pune",10.84 lakh
565, Mahindra,2021,XUV300,39.15k,Diesel,Auto,"19,624"," Tathawade, Pune",10.31 lakh
566, KIA,2022,SONET,20.27k,Petrol,Manual,"18,254"," Tathawade, Pune",9.59 lakh
567, KIA,2020,SELTOS,546.50k,Petrol,Manual,"18,082"," Tathawade, Pune",9.50 lakh
568, KIA,2020,SONET,81.05k,Diesel,Auto,"17,854"," Tathawade, Pune",9.38 lakh
569, Hyundai,2021,VENUE,29.64k,Petrol,Auto,"17,321"," Tathawade, Pune",9.10 lakh
