,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
570, KIA,2019,SELTOS,83.43k,Petrol,Manual,"17,321"," Tathawade, Pune",9.10 lakh
571, Honda,2020,City,32.76k,Petrol,Manual,"17,226"," Amanora Mall apex building, Pune",9.05 lakh
572, Tata,2022,NEXON,32.08k,Petrol,Auto,"16,902"," Amanora Mall apex building, Pune",8.88 lakh
573, Mahindra,2022,XUV300,12.80k,Petrol,Manual,"16,845"," Tathawade, Pune",8.85 lakh
574, Hyundai,2021,VENUE,25.36k,Petrol,Auto,"16,655"," Tathawade, Pune",8.75 lakh
575, Maruti,2023,Baleno,13.22k,Petrol,Auto,"16,601"," Amanora Mall apex building, Pune",8.72 lakh
576, Honda,2021,City,50.12k,Petrol,Manual,"16,213"," Tathawade, Pune",8.52 lakh
577, Maruti,2021,Vitara,51.81k,Petrol,Auto,"16,141"," Amanora Mall apex building, Pune",8.48 lakh
578, Honda,2019,City,18.60k,Petrol,Manual,"16,084"," Undri, Pune",8.45 lakh
579, Hyundai,2021,VENUE,7.99k,Petrol,Manual,"16,084"," Tathawade, Pune",8.45 lakh
580, Hyundai,2014,Xcent,,Petrol,Manual,"8,290"," Amanora Mall apex building, Pune",3.15 lakh
581, Honda,2015,City,,Petrol,Manual,"9,565"," Amanora Mall apex building, Pune",4.30 lakh
582, Maruti,2018,Ciaz,,Petrol,Manual,"12,079"," Tathawade, Pune",5.43 lakh
583, Honda,2018,Jazz,99.55k,Petrol,Auto,"8,113"," Amanora Mall apex building, Pune",4.15 lakh
584, Honda,2015,Amaze,99.39k,CNG,Manual,"11,625"," Undri, Pune",3.50 lakh
585, Tata,2018,Tiago,98.19k,Petrol,Manual,"7,038"," Amanora Mall apex building, Pune",3.60 lakh
586, Honda,2015,City,96.21k,Petrol,Manual,"8,787"," Amanora Mall apex building, Pune",3.95 lakh
587, Maruti,2014,Wagon,96.17k,CNG,Manual,"11,298"," Amanora Mall apex building, Pune",2.40 lakh
588, Honda,2018,WR,94.44k,Petrol,Manual,"11,437"," Tathawade, Pune",5.85 lakh
589, Hyundai,2016,Grand,94.02k,CNG,Manual,"9,170"," Tathawade, Pune",3.48 lakh
590, Maruti,2014,Wagon,94.02k,Petrol,Manual,"7,426"," Tathawade, Pune",2.82 lakh
591, Hyundai,2014,Xcent,93.16k,Petrol,Manual,"9,191"," Amanora Mall apex building, Pune",3.49 lakh
592, Honda,2013,City,92.87k,Petrol,Manual,"11,293"," Tathawade, Pune",3.40 lakh
593, Maruti,2016,Baleno,292.24k,CNG,Manual,"12,640"," Undri, Pune",4.80 lakh
594, Volkswagen,2013,Vento,91.71k,Petrol,Manual,"9,466"," Amanora Mall apex building, Pune",2.85 lakh
595, Honda,2016,City,89.77k,Petrol,Auto,"11,320"," Tathawade, Pune",5.79 lakh
596, Datsun,2018,Redi,087.08k,Petrol,Manual,"4,027"," Amanora Mall apex building, Pune",2.06 lakh
597, Tata,2016,Tiago,86.54k,Petrol,Manual,"6,549"," Amanora Mall apex building, Pune",3.35 lakh
598, Volkswagen,2017,Ameo,86.16k,Petrol,Manual,"8,172"," Amanora Mall apex building, Pune",4.18 lakh
599, Maruti,2016,Ciaz,86.00k,Diesel,Manual,"12,746"," Tathawade, Pune",5.73 lakh
600, Hyundai,2014,Xcent,,Petrol,Manual,"8,290"," Amanora Mall apex building, Pune",3.15 lakh
601, Honda,2015,City,,Petrol,Manual,"9,565"," Amanora Mall apex building, Pune",4.30 lakh
602, Maruti,2018,Ciaz,,Petrol,Manual,"12,079"," Tathawade, Pune",5.43 lakh
603, Honda,2018,Jazz,99.55k,Petrol,Auto,"8,113"," Amanora Mall apex building, Pune",4.15 lakh
604, Honda,2015,Amaze,99.39k,CNG,Manual,"11,625"," Undri, Pune",3.50 lakh
605, Tata,2018,Tiago,98.19k,Petrol,Manual,"7,038"," Amanora Mall apex building, Pune",3.60 lakh
606, Honda,2015,City,96.21k,Petrol,Manual,"8,787"," Amanora Mall apex building, Pune",3.95 lakh
607, Maruti,2014,Wagon,96.17k,CNG,Manual,"11,298"," Amanora Mall apex building, Pune",2.40 lakh
608, Honda,2018,WR,94.44k,Petrol,Manual,"11,437"," Tathawade, Pune",5.85 lakh
609, Hyundai,2016,Grand,94.02k,CNG,Manual,"9,170"," Tathawade, Pune",3.48 lakh
610, Maruti,2014,Wagon,94.02k,Petrol,Manual,"7,426"," Tathawade, Pune",2.82 lakh
611, Hyundai,2014,Xcent,93.16k,Petrol,Manual,"9,191"," Amanora Mall apex building, Pune",3.49 lakh
612, Honda,2013,City,92.87k,Petrol,Manual,"11,293"," Tathawade, Pune",3.40 lakh
613, Maruti,2016,Baleno,292.24k,CNG,Manual,"12,640"," Undri, Pune",4.80 lakh
614, Volkswagen,2013,Vento,91.71k,Petrol,Manual,"9,466"," Amanora Mall apex building, Pune",2.85 lakh
615, Honda,2016,City,89.77k,Petrol,Auto,"11,320"," Tathawade, Pune",5.79 lakh
616, Datsun,2018,Redi,087.08k,Petrol,Manual,"4,027"," Amanora Mall apex building, Pune",2.06 lakh
617, Tata,2016,Tiago,86.54k,Petrol,Manual,"6,549"," Amanora Mall apex building, Pune",3.35 lakh
618, Volkswagen,2017,Ameo,86.16k,Petrol,Manual,"8,172"," Amanora Mall apex building, Pune",4.18 lakh
619, Maruti,2016,Ciaz,86.00k,Diesel,Manual,"12,746"," Tathawade, Pune",5.73 lakh
620, Maruti,2012,Wagon,74.44k,CNG,Manual,," Amanora Mall apex building, Pune",2.40 lakh
621, Maruti,2013,Ritz,47.96k,Petrol,Manual,"8,569"," Amanora Mall apex building, Pune",2.58 lakh
622, Hyundai,2013,i20,249.22k,Petrol,Manual,"11,957"," Tathawade, Pune",3.60 lakh
623, Hyundai,2013,i20,239.23k,Petrol,Manual,"10,728"," Tathawade, Pune",3.23 lakh
624, Honda,2013,City,92.87k,Petrol,Manual,"11,293"," Tathawade, Pune",3.40 lakh
625, Maruti,2013,Ritz,79.52k,Petrol,Manual,"7,639"," Amanora Mall apex building, Pune",2.30 lakh
626, Volkswagen,2013,Vento,91.71k,Petrol,Manual,"9,466"," Amanora Mall apex building, Pune",2.85 lakh
627, Hyundai,2013,i20,226.56k,Petrol,Manual,"9,732"," Tathawade, Pune",2.93 lakh
628, Maruti,2013,Ertiga,64.43k,Petrol,Manual,"15,279"," Tathawade, Pune",4.60 lakh
629, Maruti,2014,Wagon,81.35k,Petrol,Manual,"7,031"," Tathawade, Pune",2.67 lakh
630, Maruti,2014,Swift,77.65k,Petrol,Manual,"10,402"," Tathawade, Pune",3.95 lakh
631, Hyundai,2014,Xcent,93.16k,Petrol,Manual,"9,191"," Amanora Mall apex building, Pune",3.49 lakh
632, Hyundai,2014,Eon,48.45k,Petrol,Manual,"6,583"," Tathawade, Pune",2.50 lakh
633, Maruti,2014,Wagon,96.17k,CNG,Manual,"11,298"," Amanora Mall apex building, Pune",2.40 lakh
634, Maruti,2014,Swift,63.38k,Petrol,Manual,"9,796"," Tathawade, Pune",3.72 lakh
635, Maruti,2014,Swift,50.74k,Petrol,Manual,"8,954"," Amanora Mall apex building, Pune",3.40 lakh
636, Maruti,2014,Wagon,11.44k,Petrol,Manual,"7,452"," Tathawade, Pune",2.83 lakh
637, Hyundai,2014,i10,132.31k,Petrol,Manual,"7,768"," Tathawade, Pune",2.95 lakh
638, Honda,2014,Amaze,62.07k,Petrol,Manual,"8,427"," Tathawade, Pune",3.20 lakh
639, Maruti,2014,Wagon,94.02k,Petrol,Manual,"7,426"," Tathawade, Pune",2.82 lakh
640, Toyota,2013,Etios,70.07k,Petrol,Manual,"10,894"," Thiruverkadu, Chennai
",3.28 lakh
641, Maruti,2013,Wagon,25.65k,Petrol,Manual,"10,562"," Navalur, Chennai",3.18 lakh
642, Hyundai,2013,Eon,76.65k,Petrol,Manual,"5,680"," Nexus Vijaya Mall, Vadapalani",1.71 lakh
643, Hyundai,2014,i20,248.70k,Petrol,Manual,"9,796"," Nexus Vijaya Mall, Vadapalani",3.72 lakh
644, Honda,2014,Amaze,42.04k,Petrol,Manual,"9,296"," Thiruverkadu, Chennai
",3.53 lakh
645, Hyundai,2014,Xcent,288.14k,Petrol,Manual,"7,900"," Thiruverkadu, Chennai
",3.00 lakh
646, Honda,2014,City,77.32k,Petrol,Auto,"13,141"," Navalur, Chennai",4.99 lakh
647, Maruti,2014,Alto,97.47k,Petrol,Manual,"5,609"," Navalur, Chennai",2.13 lakh
648, Hyundai,2014,i20,261.87k,Petrol,Manual,"10,007"," Navalur, Chennai",3.80 lakh
649, Hyundai,2014,Grand,46.30k,Petrol,Manual,"9,401"," Nexus Vijaya Mall, Vadapalani",3.57 lakh
650, Hyundai,2014,Grand,60.52k,Petrol,Manual,"8,453"," Navalur, Chennai",3.21 lakh
651, Hyundai,2014,Xcent,295.53k,Petrol,Manual,"9,164"," Nexus Vijaya Mall, Vadapalani",3.48 lakh
652, Hyundai,2014,Elite,279.38k,Petrol,Manual,"12,035"," Thiruverkadu, Chennai
",4.57 lakh
653, Honda,2015,City,52.51k,Petrol,Manual,"10,544"," Thiruverkadu, Chennai
",4.74 lakh
654, Hyundai,2015,Grand,88.21k,Petrol,Auto,"8,987"," Navalur, Chennai",4.04 lakh
655, Ford,2015,Ecosport,76.69k,Petrol,Manual,"9,231"," Thiruverkadu, Chennai
",4.15 lakh
656, Honda,2015,City,87.98k,Petrol,Manual,"10,032"," Thiruverkadu, Chennai
",4.51 lakh
657, Honda,2015,Brio,87.84k,Petrol,Auto,"8,075"," Thiruverkadu, Chennai
",3.63 lakh
658, Hyundai,2015,i10,140.09k,Petrol,Manual,"7,096"," Nexus Vijaya Mall, Vadapalani",3.19 lakh
659, Maruti,2015,Swift,98.72k,Petrol,Manual,"8,475"," Thiruverkadu, Chennai
",3.81 lakh
660, Hyundai,2024,EXTER,14.08k,Petrol,Auto,"15,684"," Nexus Vijaya Mall, Vadapalani",8.24 lakh
661, Tata,2023,NEXON,7.06k,Petrol,Manual,"19,091"," Nexus Vijaya Mall, Vadapalani",10.03 lakh
662, Renault,2023,Kwid,26.20k,Petrol,Auto,"10,107"," Navalur, Chennai",5.17 lakh
663, Nissan,2023,MAGNITE,22.36k,Petrol,Manual,"11,887"," Navalur, Chennai",6.08 lakh
664, KIA,2023,SELTOS,20.76k,Petrol,Manual,"22,251"," Thiruverkadu, Chennai
",11.69 lakh
665, Hyundai,2023,AURA,18.05k,CNG,Manual,"14,624"," Thiruverkadu, Chennai
",7.48 lakh
666, Maruti,2023,Baleno,17.40k,Petrol,Auto,"15,399"," Navalur, Chennai",8.09 lakh
667, Hyundai,2023,GRAND,27.91k,Petrol,Manual,"13,314"," Nexus Vijaya Mall, Vadapalani",6.81 lakh
668, Tata,2023,Tiago,13.20k,Petrol,Auto,"13,275"," Navalur, Chennai",6.79 lakh
669, Tata,2023,TIGOR,33.46k,Petrol,Manual,"11,280"," Nexus Vijaya Mall, Vadapalani",5.77 lakh
670, Maruti,2023,Alto,16.60k,Petrol,Manual,"8,934"," Nexus Vijaya Mall, Vadapalani",4.57 lakh
671, Renault,2023,Kwid,017.43k,Petrol,Manual,"8,856"," Nexus Vijaya Mall, Vadapalani",4.53 lakh
672, Nissan,2023,MAGNITE,18.00k,Petrol,Manual,"14,233"," Thiruverkadu, Chennai
",7.28 lakh
673, MG,2023,ASTOR,28.46k,Petrol,Auto,"28,665"," Thiruverkadu, Chennai
",15.06 lakh
674, MG,2023,ASTOR,20.79k,Petrol,Auto,"25,030"," Thiruverkadu, Chennai
",13.15 lakh
675, Maruti,2023,New,010.11k,Petrol,Manual,"11,593"," Nexus Vijaya Mall, Vadapalani",5.93 lakh
676, Maruti,2023,Alto,27.45k,Petrol,Manual,"8,837"," Thiruverkadu, Chennai
",4.52 lakh
677, Tata,2023,PUNCH,17.24k,Petrol,Auto,"15,989"," Navalur, Chennai",8.40 lakh
678, Renault,2023,Kwid,2.31k,Petrol,Auto,"10,049"," Navalur, Chennai",5.14 lakh
679, Maruti,2023,Baleno,214.43k,Petrol,Manual,"15,608"," Nexus Vijaya Mall, Vadapalani",8.20 lakh
680, Hyundai,2024,EXTER,14.08k,Petrol,Auto,"15,684"," Nexus Vijaya Mall, Vadapalani",8.24 lakh
681, Tata,2023,NEXON,7.06k,Petrol,Manual,"19,091"," Nexus Vijaya Mall, Vadapalani",10.03 lakh
682, Renault,2023,Kwid,26.20k,Petrol,Auto,"10,107"," Navalur, Chennai",5.17 lakh
683, Nissan,2023,MAGNITE,22.36k,Petrol,Manual,"11,887"," Navalur, Chennai",6.08 lakh
684, KIA,2023,SELTOS,20.76k,Petrol,Manual,"22,251"," Thiruverkadu, Chennai
",11.69 lakh
685, Hyundai,2023,AURA,18.05k,CNG,Manual,"14,624"," Thiruverkadu, Chennai
",7.48 lakh
686, Maruti,2023,Baleno,17.40k,Petrol,Auto,"15,399"," Navalur, Chennai",8.09 lakh
687, Hyundai,2023,GRAND,27.91k,Petrol,Manual,"13,314"," Nexus Vijaya Mall, Vadapalani",6.81 lakh
688, Tata,2023,Tiago,13.20k,Petrol,Auto,"13,275"," Navalur, Chennai",6.79 lakh
689, Tata,2023,TIGOR,33.46k,Petrol,Manual,"11,280"," Nexus Vijaya Mall, Vadapalani",5.77 lakh
690, Maruti,2023,Alto,16.60k,Petrol,Manual,"8,934"," Nexus Vijaya Mall, Vadapalani",4.57 lakh
691, Renault,2023,Kwid,017.43k,Petrol,Manual,"8,856"," Nexus Vijaya Mall, Vadapalani",4.53 lakh
692, Nissan,2023,MAGNITE,18.00k,Petrol,Manual,"14,233"," Thiruverkadu, Chennai
",7.28 lakh
693, MG,2023,ASTOR,28.46k,Petrol,Auto,"28,665"," Thiruverkadu, Chennai
",15.06 lakh
694, MG,2023,ASTOR,20.79k,Petrol,Auto,"25,030"," Thiruverkadu, Chennai
",13.15 lakh
695, Maruti,2023,New,010.11k,Petrol,Manual,"11,593"," Nexus Vijaya Mall, Vadapalani",5.93 lakh
696, Maruti,2023,Alto,27.45k,Petrol,Manual,"8,837"," Thiruverkadu, Chennai
",4.52 lakh
697, Tata,2023,PUNCH,17.24k,Petrol,Auto,"15,989"," Navalur, Chennai",8.40 lakh
698, Renault,2023,Kwid,2.31k,Petrol,Auto,"10,049"," Navalur, Chennai",5.14 lakh
699, Maruti,2023,Baleno,214.43k,Petrol,Manual,"15,608"," Nexus Vijaya Mall, Vadapalani",8.20 lakh
700, Renault,2023,Kwid,2.31k,Petrol,Auto,"10,049"," Navalur, Chennai",5.14 lakh
701, Tata,2023,NEXON,7.06k,Petrol,Manual,"19,091"," Nexus Vijaya Mall, Vadapalani",10.03 lakh
702, Hyundai,2021,VENUE,9.19k,Petrol,Manual,"15,015"," Navalur, Chennai",7.68 lakh
703, Maruti,2023,New,010.11k,Petrol,Manual,"11,593"," Nexus Vijaya Mall, Vadapalani",5.93 lakh
704, Maruti,2017,Alto,10.13k,Petrol,Auto,"6,295"," Navalur, Chennai",3.22 lakh
705, Honda,2022,City,12.56k,Petrol,Manual,"18,768"," Nexus Vijaya Mall, Vadapalani",9.86 lakh
706, Renault,2022,Kwid,12.59k,Petrol,Manual,"8,250"," Thiruverkadu, Chennai
",4.22 lakh
707, Renault,2022,Kwid,13.12k,Petrol,Auto,"9,971"," Nexus Vijaya Mall, Vadapalani",5.10 lakh
708, Tata,2023,Tiago,13.20k,Petrol,Auto,"13,275"," Navalur, Chennai",6.79 lakh
709, Hyundai,2024,EXTER,14.08k,Petrol,Auto,"15,684"," Nexus Vijaya Mall, Vadapalani",8.24 lakh
710, Hyundai,2021,NEW,14.30k,Petrol,Auto,"15,246"," Nexus Vijaya Mall, Vadapalani",8.01 lakh
711, Maruti,2023,Baleno,214.43k,Petrol,Manual,"15,608"," Nexus Vijaya Mall, Vadapalani",8.20 lakh
712, Hyundai,2022,GRAND,14.64k,Petrol,Manual,"11,965"," Nexus Vijaya Mall, Vadapalani",6.12 lakh
713, MG,2019,HECTOR,14.84k,Petrol,Auto,"23,850"," Nexus Vijaya Mall, Vadapalani",12.53 lakh
714, Hyundai,2016,Grand,15.54k,Petrol,Auto,"8,348"," Thiruverkadu, Chennai
",4.27 lakh
715, Hyundai,2021,Creta,16.28k,Petrol,Auto,"24,668"," Nexus Vijaya Mall, Vadapalani",12.96 lakh
716, Volkswagen,2021,TAIGUN,16.31k,Petrol,Manual,"21,204"," Thiruverkadu, Chennai
",11.14 lakh
717, Maruti,2023,Alto,16.60k,Petrol,Manual,"8,934"," Nexus Vijaya Mall, Vadapalani",4.57 lakh
718, Hyundai,2021,NEW,16.88k,Petrol,Auto,"15,347"," Thiruverkadu, Chennai
",7.85 lakh
719, Hyundai,2020,AURA,217.10k,Petrol,Manual,"11,769"," Nexus Vijaya Mall, Vadapalani",6.02 lakh
720, Mahindra,2022,XUV700,49.18k,Petrol,Auto,"38,335"," Thiruverkadu, Chennai
",20.14 lakh
721, MG,2023,ASTOR,28.46k,Petrol,Auto,"28,665"," Thiruverkadu, Chennai
",15.06 lakh
722, Hyundai,2022,Creta,40.39k,Petrol,Auto,"28,418"," Navalur, Chennai",14.93 lakh
723, Hyundai,2022,Creta,62.37k,Diesel,Manual,"28,170"," Nexus Vijaya Mall, Vadapalani",14.80 lakh
724, Hyundai,2022,Creta,34.60k,Petrol,Auto,"26,286"," Navalur, Chennai",13.81 lakh
725, Hyundai,2021,ALCAZAR,21.19k,Petrol,Auto,"25,753"," Thiruverkadu, Chennai
",13.53 lakh
726, Skoda,2021,KUSHAQ,49.55k,Petrol,Auto,"25,106"," Thiruverkadu, Chennai
",13.19 lakh
727, MG,2023,ASTOR,20.79k,Petrol,Auto,"25,030"," Thiruverkadu, Chennai
",13.15 lakh
728, Hyundai,2021,Creta,16.28k,Petrol,Auto,"24,668"," Nexus Vijaya Mall, Vadapalani",12.96 lakh
729, MG,2019,HECTOR,14.84k,Petrol,Auto,"23,850"," Nexus Vijaya Mall, Vadapalani",12.53 lakh
730, MG,2020,HECTOR,36.54k,Petrol,Auto,"22,460"," Thiruverkadu, Chennai
",11.80 lakh
731, KIA,2023,SELTOS,20.76k,Petrol,Manual,"22,251"," Thiruverkadu, Chennai
",11.69 lakh
732, Skoda,2021,KUSHAQ,46.25k,Petrol,Auto,"21,908"," Nexus Vijaya Mall, Vadapalani",11.51 lakh
733, Volkswagen,2022,TAIGUN,57.25k,Petrol,Auto,"21,794"," Navalur, Chennai",11.45 lakh
734, Maruti,2022,XL6,42.65k,Petrol,Manual,"21,528"," Nexus Vijaya Mall, Vadapalani",11.31 lakh
735, KIA,2020,SELTOS,69.55k,Diesel,Auto,"21,509"," Navalur, Chennai",11.30 lakh
736, KIA,2021,SELTOS,55.79k,Diesel,Auto,"21,413"," Thiruverkadu, Chennai
",11.25 lakh
737, Volkswagen,2021,TAIGUN,16.31k,Petrol,Manual,"21,204"," Thiruverkadu, Chennai
",11.14 lakh
738, KIA,2021,SELTOS,52.43k,Diesel,Manual,"21,071"," Nexus Vijaya Mall, Vadapalani",11.07 lakh
739, KIA,2020,SONET,38.49k,Diesel,Auto,"20,176"," Thiruverkadu, Chennai
",10.60 lakh
740, Hyundai,2013,Eon,76.65k,Petrol,Manual,"5,680"," Nexus Vijaya Mall, Vadapalani",1.71 lakh
741, Maruti,2014,Alto,97.47k,Petrol,Manual,"5,609"," Navalur, Chennai",2.13 lakh
742, Datsun,2018,Redi,52.78k,Petrol,Manual,"4,321"," Nexus Vijaya Mall, Vadapalani",2.21 lakh
743, Maruti,2016,Alto,43.87k,Petrol,Manual,"4,985"," Thiruverkadu, Chennai
",2.55 lakh
744, Maruti,2016,Alto,18.69k,Petrol,Manual,"5,357"," Nexus Vijaya Mall, Vadapalani",2.74 lakh
745, Maruti,2017,Alto,30.31k,Petrol,Manual,"5,415"," Thiruverkadu, Chennai
",2.77 lakh
746, Renault,2016,Kwid,880.28k,Petrol,Manual,"5,513"," Navalur, Chennai",2.82 lakh
747, Hyundai,2014,Xcent,288.14k,Petrol,Manual,"7,900"," Thiruverkadu, Chennai
",3.00 lakh
748, Maruti,2018,Alto,36.30k,Petrol,Manual,"6,080"," Nexus Vijaya Mall, Vadapalani",3.11 lakh
749, Renault,2018,Kwid,50.24k,Petrol,Manual,"6,100"," Thiruverkadu, Chennai
",3.12 lakh
750, Maruti,2020,Alto,93.70k,Petrol,Manual,"6,100"," Thiruverkadu, Chennai
",3.12 lakh
751, Renault,2017,Kwid,65.10k,Petrol,Auto,"6,178"," Thiruverkadu, Chennai
",3.16 lakh
752, Maruti,2013,Wagon,25.65k,Petrol,Manual,"10,562"," Navalur, Chennai",3.18 lakh
753, Hyundai,2015,i10,140.09k,Petrol,Manual,"7,096"," Nexus Vijaya Mall, Vadapalani",3.19 lakh
754, Hyundai,2014,Grand,60.52k,Petrol,Manual,"8,453"," Navalur, Chennai",3.21 lakh
755, Maruti,2017,Alto,10.13k,Petrol,Auto,"6,295"," Navalur, Chennai",3.22 lakh
756, Maruti,2015,Celerio,94.34k,Petrol,Manual,"7,274"," Navalur, Chennai",3.27 lakh
757, Toyota,2013,Etios,70.07k,Petrol,Manual,"10,894"," Thiruverkadu, Chennai
",3.28 lakh
758, Hyundai,2015,i10,162.24k,Petrol,Manual,"7,341"," Navalur, Chennai",3.30 lakh
759, Hyundai,2015,Grand,24.14k,Petrol,Manual,"7,407"," Navalur, Chennai",3.33 lakh
